# ----------------------------------------
# Report CSV Export
# Account: Clown Monster
# Property: HackerRankSolutions
# ----------------------------------------
#  
# Start date: 20210517
# End date: 20210523
Day,Users
0000,467
0001,383
0002,356
0003,370
0004,334
0005,340
0006,343

# Start date: 20210517
# End date: 20210523
Day,New users
0000,380
0001,300
0002,278
0003,288
0004,254
0005,252
0006,271

# Start date: 20210517
# End date: 20210523
Day,Average engagement time
0000,56.44967880085653
0001,81.97650130548303
0002,73.62359550561797
0003,100.91081081081082
0004,105.0059880239521
0005,84.29705882352941
0006,77.25072886297376

# Start date: 20210517
# End date: 20210523
Day,Total revenue


#  


#  


# Where do your new users come from?
# Start date: 20210517
# End date: 20210523
User medium,New users
organic,1772
(none),199
referral,52

#  
# Start date: 20210517
# End date: 20210523
Session medium,Sessions
organic,2713
(none),302
referral,52

# Where are your users visiting from?
# Start date: 20210325
# End date: 20210523
Country ID,Users,Users (Previous)
ginortS python - HackerRank Solutions,2
Array Mathematics Python - HackerRank Solutions,2
Box It! C++ - HackerRank Solutions,1
Calculate the Nth term C - HackerRank Solutions,0
Circular Palindromes - HackerRank Solutions,2
Company Retreat - HackerRank Solutions,3
Costly Intervals - HackerRank Solutions,3
Count Strings - HackerRank Solutions,3
Counting the Ways - HackerRank Solutions,0
Cpp exception handling C++ - HackerRank Solutions,3
Cube Summation - HackerRank Solutions,3
Direct Connections - HackerRank Solutions,3
Down to Zero II - HackerRank Solutions,3
Fairy Chess - HackerRank Solutions,2
Find Runne-Up Score - HackerRank Solutions,3
Game of Thrones - I - HackerRank Solutions,2
Highest Value Palindrome - HackerRank Solutions,3
Hyper Strings - HackerRank Solutions,0
Java Anagrams - HackerRank Solutions,2
Java Currency Formatter - HackerRank Solutions,2
Java Exception Handling - HackerRank Solutions,1
Java List - HackerRank Solutions,1
Java Primality Test - HackerRank Solutions,2
Jesse and Cookies - HackerRank Solutions,3
Kingdom Division - HackerRank Solutions,0
Library Query - HackerRank Solutions,3
Luck Balance - HackerRank Solutions,3
Making Anagrams - HackerRank Solutions,3
Maximizing XOR - HackerRank Solutions,0
Merge Sort: Counting Inversions - HackerRank Solutions,3
Merging Communities - HackerRank Solutions,1
Overloading Ostream Operator C++ - HackerRank Solutions,2
Pairs - HackerRank Solutions,1
Palindromic Subsets - HackerRank Solutions,3
Points in a Plane - HackerRank Solutions,1
Polar Coordinates Python - HackerRank Solutions,1
Prime Digit Sums - HackerRank Solutions,1
Queens on Board - HackerRank Solutions,1
Queues: A Tale of Two Stacks - HackerRank Solutions,3
Recursion: Davis' Staircase - HackerRank Solutions,2
Reduce Function python - HackerRank Solutions,2
Roy and alpha-beta trees - HackerRank Solutions,3
Save Humanity - HackerRank Solutions,3
Set.symmetric_difference() Operation python - HackerRank Solutions,3
Sherlock and Cost - HackerRank Solutions,1
Smart Number - HackerRank Solutions,1
String Function Calculation - HackerRank Solutions,3
Strings C++ - HackerRank Solutions,1
Strong Password - HackerRank Solutions,0
Summing Pieces - HackerRank Solutions,1
Superman Celebrates Diwali - HackerRank Solutions,0
The Indian Job - HackerRank Solutions,1
Travel around the world - HackerRank Solutions,1
Tree: Level Order Traversal - HackerRank Solutions,0
Triplets - HackerRank Solutions,2
Two Array Problem - HackerRank Solutions,3
Walking the Approximate Longest Path - HackerRank Solutions,1
Yet Another KMP Problem - HackerRank Solutions,3
itertools.combinations() python - HackerRank Solutions,2
sWAP cASE - HackerRank Solutions,2
Alien Languages - HackerRank Solutions,1
Arithmetic Progressions - HackerRank Solutions,2
Arrays: Left Rotation - HackerRank Solutions,0
BFS: Shortest Reach in a Graph - HackerRank Solutions,2
Binary Search Tree : Insertion - HackerRank Solutions,1
Bit Array - HackerRank Solutions,1
Black and White Tree - HackerRank Solutions,1
Bonetrousle - HackerRank Solutions,2
Bricks Game - HackerRank Solutions,1
C++ Class Template Specialization - HackerRank Solutions,2
Can You Access? Java - HackerRank Solutions,1
Counter game - HackerRank Solutions,0
Covariant Return Types - HackerRank Solutions,1
Exceptional Server C++ - HackerRank Solutions,1
Far Vertices - HackerRank Solutions,0
Fibonacci Modified - HackerRank Solutions,1
Find Strings - HackerRank Solutions,2
Find the Running Median - HackerRank Solutions,2
Fraudulent Activity Notifications - HackerRank Solutions,2
Hash Tables: Ice Cream Parlor - HackerRank Solutions,1
Hexagonal Grid - HackerRank Solutions,1
Java Arraylist - HackerRank Solutions,2
Java Comparator - HackerRank Solutions,2
Java Exception Handling (Try-catch) - HackerRank Solutions,0
Java Reflection - Attributes - HackerRank Solutions,2
Java Singleton Pattern - HackerRank Solutions,1
Kindergarten Adventures - HackerRank Solutions,2
Lily's Homework - HackerRank Solutions,2
Longest Palindromic Subsequence - HackerRank Solutions,0
Lovely Triplets - HackerRank Solutions,1
Lucky Numbers - HackerRank Solutions,0
Mandragora Forest - HackerRank Solutions,2
Mars Exploration - HackerRank Solutions,0
Max Array Sum - HackerRank Solutions,2
Mining - HackerRank Solutions,2
New Year Present - HackerRank Solutions,1
Operator Overloading C++ - HackerRank Solutions,2
Overload Operators C++ - HackerRank Solutions,0
Polynomial Division - HackerRank Solutions,2
Pseudo-Isomorphic Substrings - HackerRank Solutions,1
